Date,Surface,Best of,player_name,opponent_name,player_rank,player_elo,opponent_rank,opponent_elo,ewma_form,ewma_serve,ewma_return,ewma_surface,days_rest,result,total_games
2015-01-04,Hard,3,Dimitrov G.,Klizan M.,11.0,1500.736306793522,34.0,1516.0,0.6,0.5288350417043514,0.25742447516641065,0.5333333333333333,0.0,1,19.0
2015-01-04,Hard,3,Federer R.,Raonic M.,2.0,1532.736306793522,8.0,1532.734673623596,1.0,0.8220746363061354,0.6677176813000243,1.0,0.0,1,33.0
2015-01-04,Hard,3,Nishikori K.,Tomic B.,5.0,1499.9661669788793,53.0,1516.0,0.0,0.7758620689655172,0.2295081967213115,0.0,0.0,1,16.0
2015-01-04,Hard,3,Federer R.,Dimitrov G.,2.0,1516.736306793522,11.0,1516.736306793522,1.0,0.8141988533186428,0.6467418691253514,1.0,0.0,1,16.0
2015-01-04,Hard,3,Raonic M.,Nishikori K.,8.0,1500.0,5.0,1516.736306793522,0.6,0.668757467144564,0.3045400238948627,0.5333333333333333,0.0,1,39.0
2015-01-04,Hard,3,Nishikori K.,Johnson S.,5.0,1500.0,37.0,1516.0,0.6,0.7801358234295416,0.24506174759697644,0.5333333333333333,0.0,1,22.0
2015-01-04,Hard,3,Raonic M.,Groth S.,8.0,1516.7701398146428,85.0,1516.0,0.7894736842105262,0.6753209727016043,0.29935279209741883,0.7100591715976331,0.0,1,35.0
2015-01-05,Hard,3,Berdych T.,Ferrer D.,7.0,1563.3268999703382,10.0,1561.8278203282016,0.5,0.6,0.6,0.5,10.0,0,22.0
2015-01-05,Hard,3,Busta P.,Lu Y.,49.0,1516.0,38.0,1498.530569775444,0.5,0.6,0.6,0.5,10.0,0,20.0
2015-01-05,Hard,3,Lopez F.,Bedene A.,14.0,1500.0,156.0,1532.0308569869565,0.5,0.6,0.6,0.5,10.0,0,20.0
2015-01-05,Hard,3,Ito T.,Garcia-Lopez G.,87.0,1516.0,36.0,1500.0014896161165,0.5,0.6,0.6,0.5,10.0,0,27.0
2015-01-05,Hard,3,Gojowczyk P.,Agut R.,102.0,1516.0,15.0,1501.4709917516523,0.5,0.6,0.6,0.5,10.0,0,17.0
2015-01-05,Hard,3,Vesely J.,Haider-Maurer A.,65.0,1516.0,79.0,1500.736306793522,0.5,0.6,0.6,0.5,10.0,0,33.0
2015-01-05,Hard,3,Rosol L.,Karlovic I.,30.0,1500.0,27.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,22.0
2015-01-05,Hard,3,Karlovic I.,Ferrer D.,27.0,1516.0,10.0,1516.0,0.5,0.6,0.6,0.5,10.0,0,39.0
2015-01-05,Hard,3,Al-Mutawa J.,Stakhovsky S.,0.0,1500.0,57.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,14.0
2015-01-05,Hard,3,Youzhny M.,Basilashvili N.,47.0,1500.0,171.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,20.0
2015-01-05,Hard,3,Bakker T.,Ferrer D.,141.0,1500.0,10.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,32.0
2015-01-05,Hard,3,Lu Y.,Agut R.,38.0,1516.0,15.0,1484.0015615270963,0.5,0.6,0.6,0.5,10.0,0,23.0
2015-01-05,Hard,3,Muller G.,Wawrinka S.,46.0,1531.263693206478,4.0,1548.6700520535896,0.5,0.6,0.6,0.5,10.0,0,21.0
2015-01-05,Hard,3,Garcia-Lopez G.,Bedene A.,36.0,1516.0,156.0,1516.032346603073,0.5,0.6,0.6,0.5,10.0,0,25.0
2015-01-05,Hard,3,Prashanth V.,Vesely J.,557.0,1500.0,65.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,15.0
2015-01-05,Hard,3,Agut R.,Bedene A.,15.0,1500.0,156.0,1500.0339081301693,0.5,0.6,0.6,0.5,10.0,0,31.0
2015-01-05,Hard,3,Basilashvili N.,Karlovic I.,171.0,1516.0,27.0,1516.736306793522,0.5,0.6,0.6,0.5,10.0,0,22.0
2015-01-05,Hard,3,Verdasco F.,Ferrer D.,33.0,1516.0,10.0,1547.263693206478,0.5,0.6,0.6,0.5,10.0,0,17.0
2015-01-05,Hard,3,Struff J.,Brown D.,58.0,1516.0,98.0,1500.736306793522,0.5,0.6,0.6,0.5,10.0,0,23.0
2015-01-05,Hard,3,Gasquet R.,Berdych T.,26.0,1516.736306793522,7.0,1516.0,0.5,0.6,0.6,0.5,10.0,0,15.0
2015-01-05,Hard,3,Souza J.,Seppi A.,117.0,1516.0,45.0,1516.0,0.5,0.6,0.6,0.5,10.0,0,20.0
2015-01-05,Hard,3,Berrer M.,Dodig I.,127.0,1500.0,89.0,1516.0,0.5,0.6,0.6,0.5,10.0,0,21.0
2015-01-05,Hard,3,Djokovic N.,Karlovic I.,1.0,1516.0,27.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,36.0
2015-01-05,Hard,3,Brown D.,Ferrer D.,98.0,1516.0,10.0,1532.0,0.5,0.6,0.6,0.5,10.0,0,16.0
2015-01-05,Hard,3,Lorenzi P.,Brown D.,63.0,1500.0,98.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,22.0
2015-01-05,Hard,3,Kohlschreiber P.,Struff J.,24.0,1500.0,58.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,30.0
2015-01-05,Hard,3,Bolelli S.,Gasquet R.,52.0,1516.0,26.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,17.0
2015-01-05,Hard,3,Gabashvili T.,Verdasco F.,66.0,1500.0,33.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,32.0
2015-01-05,Hard,3,Jaziri M.,Souza J.,74.0,1500.0,117.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,28.0
2015-01-05,Hard,3,Lajovic D.,Djokovic N.,68.0,1500.0,1.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,15.0
2015-01-05,Hard,3,Becker B.,Bolelli S.,40.0,1500.0,52.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,22.0
2015-01-05,Hard,3,Monaco J.,Kavcic B.,61.0,1500.0,99.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,23.0
2015-01-05,Hard,3,Mayer L.,Seppi A.,28.0,1500.0,45.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,38.0
2015-01-05,Hard,3,Stakhovsky S.,Djokovic N.,57.0,1516.0,1.0,1499.263693206478,0.5,0.6,0.6,0.5,10.0,0,15.0
2015-01-05,Hard,3,Andujar P.,Gasquet R.,41.0,1500.0,26.0,1500.7023986633528,0.5,0.6,0.6,0.5,10.0,0,21.0
2015-01-05,Hard,3,Dodig I.,Seppi A.,89.0,1531.263693206478,45.0,1532.0,0.5,0.6,0.6,0.5,10.0,0,22.0
2015-01-05,Hard,3,Nadal R.,Berrer M.,3.0,1500.0,127.0,1484.736306793522,0.5,0.6,0.6,0.5,10.0,0,26.0
2015-01-05,Hard,3,Bedene A.,Wawrinka S.,156.0,1516.0,4.0,1516.736306793522,0.5,0.6,0.6,0.5,10.0,0,19.0
2015-01-05,Hard,3,Berankis R.,Goffin D.,83.0,1516.0,22.0,1516.0,0.5,0.6,0.6,0.5,10.0,0,29.0
2015-01-05,Hard,3,Sijsling I.,Ymer E.,81.0,1500.0,227.0,1484.0,0.5,0.6,0.6,0.5,10.0,0,29.0
2015-01-05,Hard,3,Coric B.,Wawrinka S.,95.0,1516.0,4.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,17.0
2015-01-05,Hard,3,Roger-Vasselin E.,Muller G.,116.0,1500.0,46.0,1516.0,0.5,0.6,0.6,0.5,10.0,0,33.0
2015-01-05,Hard,3,Haase R.,Coric B.,80.0,1500.0,95.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,16.0
2015-01-05,Hard,3,Donskoy E.,Garcia-Lopez G.,129.0,1500.0,36.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,30.0
2015-01-05,Hard,3,Ramanathan R.,Ito T.,285.0,1500.0,87.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,18.0
2015-01-05,Hard,3,Goffin D.,Wawrinka S.,22.0,1532.0,4.0,1532.7023986633528,0.5,0.6,0.6,0.5,10.0,0,21.0
2015-01-05,Hard,3,Seppi A.,Berdych T.,45.0,1547.9660918698307,7.0,1547.296043123496,0.5,0.6,0.6,0.5,10.0,0,17.0
2015-01-05,Hard,3,Vanni L.,Berankis R.,148.0,1500.0,83.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,27.0
2015-01-05,Hard,3,Granollers M.,Haider-Maurer A.,55.0,1500.0,79.0,1484.0,0.5,0.6,0.6,0.5,10.0,0,0.0
2015-01-05,Hard,3,Devvarman S.,Lu Y.,136.0,1500.0,38.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,19.0
2015-01-05,Hard,3,Gonzalez A.,Busta P.,109.0,1500.0,49.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,16.0
2015-01-05,Hard,3,Falla A.,Gojowczyk P.,113.0,1500.0,102.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,13.0
2015-01-05,Hard,3,Ymer E.,Muller G.,227.0,1500.0,46.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,19.0
2015-01-05,Hard,3,Haider-Maurer A.,Goffin D.,79.0,1500.0,22.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,20.0
2015-01-05,Hard,3,Kavcic B.,Berdych T.,99.0,1516.0,7.0,1532.0339081301693,0.5,0.6,0.6,0.5,10.0,0,15.0
2015-01-05,Hard,3,Lacko L.,Bedene A.,88.0,1500.0,156.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,22.0
2015-01-05,Hard,3,Istomin D.,Berdych T.,48.0,1500.0,7.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,17.0
2015-01-05,Hard,3,Safwat M.,Dodig I.,289.0,1500.0,89.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,16.0
2015-01-05,Hard,3,Ferrer D.,Bakker T.,10.0,1500.0,141.0,1500.0,0.5,0.6,0.6,0.5,10.0,1,32.0
2015-01-05,Hard,3,Gasquet R.,Andujar P.,26.0,1500.7023986633528,41.0,1500.0,0.0,0.4594594594594595,0.30000000000000004,0.0,0.0,1,21.0
2015-01-05,Hard,3,Seppi A.,Dodig I.,45.0,1532.0,89.0,1531.263693206478,0.0,0.5517241379310345,0.2678571428571429,0.0,0.0,1,22.0
2015-01-05,Hard,3,Berrer M.,Nadal R.,127.0,1484.736306793522,3.0,1500.0,0.0,0.5733333333333334,0.22807017543859653,0.0,0.0,1,26.0
2015-01-05,Hard,3,Berdych T.,Kavcic B.,7.0,1532.0339081301693,99.0,1516.0,0.0,0.5932203389830508,0.3492063492063492,0.0,0.0,1,15.0
2015-01-05,Hard,3,Goffin D.,Haider-Maurer A.,22.0,1500.0,79.0,1500.0,0.0,0.5942028985507246,0.33333333333333337,0.0,0.0,1,20.0
2015-01-05,Hard,3,Gojowczyk P.,Falla A.,102.0,1500.0,113.0,1500.0,0.0,0.46808510638297873,0.39344262295081966,0.0,0.0,1,13.0
2015-01-05,Hard,3,Busta P.,Gonzalez A.,49.0,1500.0,109.0,1500.0,0.0,0.5671641791044776,0.31034482758620685,0.0,0.0,1,16.0
2015-01-05,Hard,3,Lu Y.,Devvarman S.,38.0,1500.0,136.0,1500.0,0.0,0.611764705882353,0.31506849315068497,0.0,0.0,1,19.0
2015-01-05,Hard,3,Haider-Maurer A.,Granollers M.,79.0,1484.0,55.0,1500.0,0.0,0.5645161290322581,0.24,0.0,0.0,1,0.0
2015-01-05,Hard,3,Vesely J.,Prashanth V.,65.0,1500.0,557.0,1500.0,0.0,0.66,0.30927835051546393,0.0,0.0,1,15.0
2015-01-05,Hard,3,Berankis R.,Vanni L.,83.0,1500.0,148.0,1500.0,0.0,0.5742574257425742,0.2692307692307693,0.0,0.0,1,27.0
2015-01-05,Hard,3,Bedene A.,Lacko L.,156.0,1500.0,88.0,1500.0,0.0,0.6538461538461539,0.288135593220339,0.0,0.0,1,22.0
2015-01-05,Hard,3,Djokovic N.,Stakhovsky S.,1.0,1499.263693206478,57.0,1516.0,0.0,0.7142857142857143,0.24242424242424243,0.0,0.0,1,15.0
2015-01-05,Hard,3,Berdych T.,Seppi A.,7.0,1547.296043123496,45.0,1547.9660918698307,0.6,0.6036935787619222,0.3609939972328442,0.5333333333333333,0.0,1,17.0
2015-01-05,Hard,3,Garcia-Lopez G.,Donskoy E.,36.0,1500.0,129.0,1500.0,0.0,0.5753424657534246,0.3939393939393939,0.0,0.0,1,30.0
2015-01-05,Hard,3,Coric B.,Haase R.,95.0,1500.0,80.0,1500.0,0.0,0.5370370370370371,0.25,0.0,0.0,1,16.0
2015-01-05,Hard,3,Muller G.,Roger-Vasselin E.,46.0,1516.0,116.0,1500.0,0.0,0.5915492957746479,0.21311475409836067,0.0,0.0,1,33.0
2015-01-05,Hard,3,Wawrinka S.,Coric B.,4.0,1500.0,95.0,1516.0,0.5,0.6,0.6,0.5,10.0,1,17.0
2015-01-05,Hard,3,Ymer E.,Sijsling I.,227.0,1484.0,81.0,1500.0,0.0,0.6739130434782609,0.3088235294117647,0.0,0.0,1,29.0
2015-01-05,Hard,3,Goffin D.,Berankis R.,22.0,1516.0,83.0,1516.0,0.6,0.6048994857410005,0.33992369060006944,0.5333333333333333,0.0,1,29.0
2015-01-05,Hard,3,Wawrinka S.,Bedene A.,4.0,1516.736306793522,156.0,1516.0,1.0,0.75,0.4629629629629629,1.0,0.0,1,19.0
2015-01-05,Hard,3,Bedene A.,Agut R.,156.0,1500.0339081301693,15.0,1500.0,0.6,0.6573954832427679,0.2930858688103084,0.5333333333333333,0.0,1,31.0
2015-01-05,Hard,3,Wawrinka S.,Goffin D.,4.0,1532.7023986633528,22.0,1532.0,1.0,0.747539639147075,0.45542689091076183,1.0,0.0,1,21.0
2015-01-05,Hard,3,Bedene A.,Garcia-Lopez G.,156.0,1516.032346603073,36.0,1516.0,0.7894736842105262,0.6521441617432345,0.2989408697798617,0.7100591715976331,0.0,1,25.0
2015-01-05,Hard,3,Agut R.,Lu Y.,15.0,1484.0015615270963,38.0,1516.0,0.0,0.6161616161616161,0.42400000000000004,0.0,0.0,1,23.0
2015-01-05,Hard,3,Karlovic I.,Rosol L.,27.0,1500.0,30.0,1500.0,0.0,0.7606837606837606,0.25409836065573765,0.0,0.0,1,22.0
2015-01-05,Hard,3,Ito T.,Ramanathan R.,87.0,1500.0,285.0,1500.0,0.0,0.5,0.3793103448275862,0.0,0.0,1,18.0
2015-01-05,Hard,3,Karlovic I.,Basilashvili N.,27.0,1516.736306793522,171.0,1516.0,0.6,0.7593660819467272,0.2600705094306363,0.5333333333333333,0.0,1,22.0
2015-01-05,Hard,3,Muller G.,Ymer E.,46.0,1500.0,227.0,1500.0,0.6,0.5998364379827352,0.221722489541392,0.5333333333333333,0.0,1,19.0
2015-01-05,Hard,3,Brown D.,Struff J.,98.0,1500.736306793522,58.0,1516.0,0.0,0.45454545454545453,0.4,0.0,0.0,1,23.0
2015-01-05,Hard,3,Basilashvili N.,Youzhny M.,171.0,1500.0,47.0,1500.0,0.0,0.6025641025641025,0.21311475409836067,0.0,0.0,1,20.0
2015-01-05,Hard,3,Stakhovsky S.,Al-Mutawa J.,57.0,1500.0,0.0,1500.0,0.0,0.4583333333333333,0.27450980392156865,0.0,0.0,1,14.0
2015-01-05,Hard,3,Ferrer D.,Karlovic I.,10.0,1516.0,27.0,1516.0,1.0,0.6896551724137931,0.39830508474576276,1.0,0.0,1,39.0
2015-01-05,Hard,3,Dodig I.,Safwat M.,89.0,1500.0,289.0,1500.0,0.0,0.5,0.39743589743589747,0.0,0.0,1,16.0
2015-01-05,Hard,3,Berdych T.,Istomin D.,7.0,1500.0,48.0,1500.0,0.7894736842105262,0.611980628980047,0.3666250852867875,0.7100591715976331,0.0,1,17.0
2015-01-05,Hard,3,Seppi A.,Mayer L.,45.0,1500.0,28.0,1500.0,0.6,0.555004135649297,0.28283410138248855,0.5333333333333333,0.0,1,38.0
2015-01-05,Hard,3,Ferrer D.,Verdasco F.,10.0,1547.263693206478,33.0,1516.0,1.0,0.693283976731888,0.3880477398793419,1.0,0.0,1,17.0
2015-01-05,Hard,3,Ferrer D.,Berdych T.,10.0,1561.8278203282016,7.0,1563.3268999703382,1.0,0.6934367636468013,0.39614230592025623,1.0,0.0,1,22.0
2015-01-05,Hard,3,Bedene A.,Lopez F.,156.0,1532.0308569869565,14.0,1500.0,0.8769230769230769,0.6491710291185488,0.3070516223261013,0.7976401179941003,0.0,1,20.0
2015-01-05,Hard,3,Garcia-Lopez G.,Ito T.,36.0,1500.0014896161165,87.0,1516.0,0.6,0.5855354249521285,0.39803664649237747,0.5333333333333333,0.0,1,27.0
2015-01-05,Hard,3,Agut R.,Gojowczyk P.,15.0,1501.4709917516523,102.0,1516.0,0.6,0.620598383302758,0.4216925996204934,0.5333333333333333,0.0,1,17.0
2015-01-05,Hard,3,Lu Y.,Busta P.,38.0,1498.530569775444,49.0,1516.0,0.6,0.6153067678684377,0.32647073737893273,0.5333333333333333,0.0,1,20.0
2015-01-05,Hard,3,Haider-Maurer A.,Vesely J.,79.0,1500.736306793522,65.0,1516.0,0.6,0.5663800299596347,0.24718395815170008,0.5333333333333333,0.0,1,33.0
2015-01-05,Hard,3,Kavcic B.,Monaco J.,99.0,1500.0,61.0,1500.0,0.0,0.46808510638297873,0.24444444444444446,0.0,0.0,1,23.0
2015-01-05,Hard,3,Bolelli S.,Becker B.,52.0,1500.0,40.0,1500.0,0.0,0.5087719298245614,0.2142857142857143,0.0,0.0,1,22.0
2015-01-05,Hard,3,Wawrinka S.,Muller G.,4.0,1548.6700520535896,46.0,1531.263693206478,1.0,0.7423220280193067,0.4522249690100208,1.0,0.0,1,21.0
2015-01-05,Hard,3,Berdych T.,Gasquet R.,7.0,1516.0,26.0,1516.736306793522,0.8769230769230769,0.6241109109813343,0.371798209503014,0.7976401179941003,0.0,1,15.0
2015-01-05,Hard,3,Seppi A.,Souza J.,45.0,1516.0,117.0,1516.0,0.7894736842105262,0.5665853704032962,0.28443785662828336,0.7100591715976331,0.0,1,20.0
2015-01-05,Hard,3,Dodig I.,Berrer M.,89.0,1516.0,127.0,1500.0,0.6,0.525089605734767,0.4040529363110009,0.5333333333333333,0.0,1,21.0
2015-01-05,Hard,3,Ferrer D.,Brown D.,10.0,1532.0,98.0,1516.0,1.0,0.6906855950756303,0.39682858689423645,1.0,0.0,1,16.0
2015-01-05,Hard,3,Karlovic I.,Djokovic N.,27.0,1500.0,1.0,1516.0,0.7894736842105262,0.7611415118793022,0.26893279252774993,0.7100591715976331,0.0,1,36.0
2015-01-05,Hard,3,Struff J.,Kohlschreiber P.,58.0,1500.0,24.0,1500.0,0.0,0.6933333333333334,0.2804878048780488,0.0,0.0,1,30.0
2015-01-05,Hard,3,Gasquet R.,Bolelli S.,26.0,1500.0,52.0,1516.0,0.6,0.4731636878814299,0.30626185958254276,0.5333333333333333,0.0,1,17.0
2015-01-05,Hard,3,Verdasco F.,Gabashvili T.,33.0,1500.0,66.0,1500.0,0.0,0.4864864864864865,0.30434782608695654,0.0,0.0,1,32.0
2015-01-05,Hard,3,Souza J.,Jaziri M.,117.0,1500.0,74.0,1500.0,0.0,0.5862068965517241,0.2592592592592593,0.0,0.0,1,28.0
2015-01-05,Hard,3,Djokovic N.,Lajovic D.,1.0,1500.0,68.0,1500.0,0.6,0.7150085840787929,0.2617302052785924,0.5333333333333333,0.0,1,15.0
2015-01-05,Hard,3,Brown D.,Lorenzi P.,98.0,1500.0,63.0,1500.0,0.6,0.4716400829697447,0.393978494623656,0.5333333333333333,0.0,1,22.0
2015-01-11,Hard,3,Klizan M.,Troicki V.,34.0,1516.0661178732219,92.0,1500.0,0.7894736842105262,0.5528381931617555,0.33549489536657995,0.7100591715976331,7.0,0,17.0
2015-01-11,Hard,3,Fognini F.,Potro J.,18.0,1500.0,338.0,1515.9645338089533,0.5,0.6,0.6,0.5,10.0,0,26.0
2015-01-11,Hard,3,Janowicz J.,Mayer L.,42.0,1516.0,28.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,30.0
